Date,Region,"New Cases","Total Cases","Confirmed Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths
2020/05/02,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1
2020/05/02,Saskatoon,1,157,157,13,5,2,142,2
2020/05/02,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/02,Regina,1,76,76,7,0,0,68,1
2020/05/02,Total,6,421,421,113,10,2,302,6
2020/05/03,"Far North",4,81,81,68,0,0,12,1
2020/05/03,North,4,89,89,31,5,0,57,1
2020/05/03,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1
2020/05/03,Saskatoon,4,161,161,16,6,3,143,2
2020/05/03,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/03,Regina,0,76,76,7,0,0,68,1
2020/05/03,Total,12,433,433,122,11,3,305,6
2020/05/04,"Far North",29,110,110,97,0,0,12,1
2020/05/04,North,4,93,93,35,2,1,57,1
2020/05/04,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1
2020/05/04,Saskatoon,1,162,162,17,5,3,143,2
2020/05/04,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/04,Regina,0,76,76,5,0,0,70,1
2020/05/04,Total,34,467,467,154,7,4,307,6
2020/05/05,"Far North",18,128,128,114,0,0,13,1
2020/05/05,North,2,95,95,37,2,1,57,1
2020/05/05,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1
2020/05/05,Saskatoon,0,162,162,16,7,3,144,2
2020/05/05,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/05,Regina,0,76,76,4,0,0,71,1
2020/05/05,Total,20,487,487,171,9,4,310,6
2020/05/06,"Far North",24,152,152,138,0,0,13,1
2020/05/06,North,0,95,95,36,2,1,58,1
2020/05/06,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1
2020/05/06,Saskatoon,1,163,163,17,7,3,144,2
2020/05/06,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/06,Regina,0,76,76,3,0,0,72,1
2020/05/06,Total,25,512,512,194,9,4,312,6
2020/05/07,"Far North",15,167,167,138,0,0,28,1
2020/05/07,North,4,99,99,39,2,1,59,1
2020/05/07,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1
2020/05/07,Saskatoon,0,163,163,16,6,3,145,2
2020/05/07,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/07,Regina,0,76,76,3,0,0,72,1
2020/05/07,Total,19,531,531,196,8,4,329,6
2020/05/08,"Far North",12,179,179,148,0,0,30,1
2020/05/08,North,1,100,100,38,6,1,61,1
2020/05/08,"Central (excluding Saskatoon)",0,11,11,0,0,0,10,1
2020/05/08,Saskatoon,0,163,163,15,9,3,146,2
2020/05/08,"South (excluding Regina)",0,15,15,0,0,0,15,0
2020/05/08,Regina,0,76,76,2,0,0,73,1
2020/05/08,Total,13,544,544,203,15,4,335,6
2020/05/09,"Far North",5,184,184,150,0,0,33,1
2020/05/09,North,3,103,103,40,6,1,62,1
